Transaction_ID,User_ID,Merchant_ID,Amount,Payment_Mode,Transaction_Status,Transaction_Type,Transaction_Date,Location
T300000,U106464,M200595,1006.0,UPI,Success,P2M,2024-09-06 20:31:10,Meerut
T300001,U100178,M200435,1170.09,QR Code,Success,P2M,2024-07-30 13:42:29,Durgapur
T300002,U100896,M201473,365.61,AutoPay,Success,P2P,2024-11-25 00:45:07,Barasat
T300003,U106362,M200376,1270.9,Intent,Success,P2M,2024-09-11 15:33:46,Bokaro
T300004,U106932,M201982,312.55,AutoPay,Success,P2M,2024-07-14 09:58:15,Kumbakonam
T300005,U106068,M200390,56.72,Intent,Success,P2M,2024-08-19 18:13:05,Bangalore
T300006,U101551,M200480,8.59,QR Code,Success,P2P,2024-09-22 08:12:07,Udupi
T300007,U100491,M200820,68.7,Intent,Success,P2M,2024-12-22 05:45:02,Bhind
T300008,U100060,M200113,487.3,Intent,Success,P2P,2024-01-29 01:55:44,Indore
T300009,U101077,M201769,193.5,Intent,Success,P2M,2024-05-03 23:14:22,Jaunpur
T300010,U105799,M200773,522.5,Intent,Failed,P2M,2024-05-27 10:21:15,Darbhanga
T300011,U106681,M201926,354.61,Intent,Success,P2M,2024-06-16 14:36:59,Fatehpur
T300012,U102895,M200171,202.49,AutoPay,Success,P2P,2024-06-29 17:00:34,Durg
T300013,U104160,M200017,123.39,UPI,Success,P2M,2024-03-05 11:33:31,Pudukkottai
T300014,U103683,M200234,42.26,AutoPay,Success,P2M,2024-12-17 23:49:22,Bhiwandi
T300015,U100585,M201333,762.53,AutoPay,Success,P2M,2024-08-12 02:28:23,Mango
T300016,U105823,M201918,854.64,QR Code,Success,P2M,2024-01-06 07:46:14,Shimla
T300017,U106314,M201692,389.84,UPI,Failed,P2P,2024-11-10 00:56:44,Karimnagar
T300018,U103960,M200722,85.45,UPI,Success,P2M,2024-11-13 17:39:27,Saharanpur
T300019,U103770,M200280,152.94,QR Code,Success,P2M,2024-03-15 18:48:16,Medininagar
T300020,U100534,M200830,1552.16,UPI,Success,P2M,2024-07-28 00:59:46,Karaikudi
T300021,U103462,M201219,128.05,Intent,Success,P2M,2024-01-09 14:42:03,Sikar
T300022,U104011,M201138,29.24,UPI,Success,P2M,2024-09-23 19:36:33,Bihar Sharif
T300023,U106836,M201420,399.31,QR Code,Success,P2M,2024-07-07 08:34:04,Ramgarh
T300024,U103398,M201695,151.85,AutoPay,Success,P2M,2024-01-05 02:30:13,Medininagar
T300025,U102155,M201690,1578.36,UPI,Success,P2M,2024-06-18 05:14:07,Rewa
T300026,U105966,M201586,427.56,Intent,Success,P2P,2024-08-11 21:19:03,Surat
T300027,U106957,M200417,1687.98,QR Code,Success,P2P,2024-10-05 02:14:22,Coimbatore
