Merchant_ID,Merchant_Name,Category,City,State
M200000,Lata-Raval,Grocery,Ongole,Gujarat
M200001,Gour Group,Grocery,Hapur,Telangana
M200002,"Dada, Bhat and Divan",Grocery,Farrukhabad,Nagaland
M200003,Sami-Sankaran,Electronics,Imphal,Sikkim
M200004,"Manda, Sheth and Tak",Education,Jodhpur,West Bengal
M200005,Choudhry-Devi,Recharge,Kolkata,Andhra Pradesh
M200006,Upadhyay Ltd,Recharge,Chittoor,Gujarat
M200007,"Kala, Barad and Chhabra",Clothing,Miryalaguda,Telangana
M200008,"Bumb, Sathe and Keer",Clothing,South Dumdum,Manipur
M200009,"Kapoor, Bali and Srivastava",,Thoothukudi,Gujarat
M200010,"Kunda, Shetty and Kapur",Electronics,Bijapur,Sikkim
M200011,Bhat Ltd,Travel,Jalandhar,Haryana
M200012,Krishna Ltd,Education,Tiruvottiyur,Chhattisgarh
M200013,"Sahota, Contractor and Varughese",Education,Ulhasnagar,Telangana
M200014,"Jha, Krishnamurthy and Bhattacharyya",Grocery,Junagadh,Nagaland
M200015,"Srivastava, Kamdar and Ramesh",Recharge,Farrukhabad,Uttar Pradesh
M200016,"Sachdev, Sekhon and Jani",Food Delivery,Kollam,Mizoram
M200017,Sachdeva-Ramaswamy,Clothing,Madhyamgram,Andhra Pradesh
M200018,Shankar Inc,Food Delivery,Serampore,Andhra Pradesh
M200019,"Sura, Soni and Issac",Grocery,Indore,Haryana
M200020,"Taneja, Khurana and Shankar",Recharge,Bhusawal,Haryana
M200021,Manne Group,Recharge,Gaya,Tripura
M200022,Suresh-Manda,Food Delivery,Asansol,Goa
M200023,Chanda-Ben,Food Delivery,Jorhat,Meghalaya
M200024,"Badami, Banik and Thakur",Clothing,Tirunelveli,Sikkim
M200025,Mani Group,Electronics,Jamalpur,Himachal Pradesh
M200026,Walia-Sundaram,Grocery,Ludhiana,Telangana
M200027,Srinivasan PLC,Grocery,Machilipatnam,Chhattisgarh
M200028,"Virk, Tara and Bava",Travel,Nadiad,Bihar
M200029,Chadha-Loyal,Education,Orai,Uttar Pradesh
M200030,Venkatesh-Dar,Education,Bangalore,Nagaland
M200031,Solanki-Divan,Electronics,Bellary,Andhra Pradesh
M200032,Rege and Sons,Food Delivery,Bathinda,Andhra Pradesh
M200033,"Karpe, Virk and Bali",Food Delivery,Adoni,Punjab
M200034,Sule-Hora,Food Delivery,Sirsa,Arunachal Pradesh
M200035,Karnik-Bora,Food Delivery,Tirunelveli,Tripura
M200036,Bahri-Sura,Clothing,Siliguri,Mizoram
M200037,Chana Group,Food Delivery,Visakhapatnam,Andhra Pradesh
M200038,Chawla Inc,Food Delivery,Bongaigaon,Himachal Pradesh
M200039,"Tank, Soni and Dey",Food Delivery,Amroha,Gujarat
M200040,Dutta Inc,Clothing,Nagaon,Karnataka
M200041,Som PLC,Food Delivery,Tirunelveli,Uttar Pradesh
M200042,Lata Ltd,Travel,Dhule,Assam
M200043,Buch-Taneja,Grocery,Bhilai,Madhya Pradesh
M200044,Sanghvi LLC,Clothing,Muzaffarnagar,Punjab
M200045,"Ramanathan, Shah and Sood",Travel,Jabalpur,Karnataka
M200046,Sekhon LLC,Recharge,Bhiwandi,Chhattisgarh
M200047,Gopal-Dixit,Travel,Kamarhati,Uttar Pradesh
M200048,Salvi-Hans,Education,Sambhal,Rajasthan
